Don't Start Now;Dua Lipa
Any Ol' Barstool;Jason Aldean
Dancing On My Own;Calum Scott
Running Back;Wale Featuring Lil Wayne
Paris;The Chainsmokers
T-Shirt;Migos
Not Afraid Anymore;Halsey
Despacito;Luis Fonsi & Daddy Yankee Featuring Justin Bieber
Not Nice;PARTYNEXTDOOR
Black;Dierks Bentley
Down;Marian Hill
Shape Of You;Ed Sheeran
Castle On The Hill;Ed Sheeran
Location;Khalid
Drinkin' Too Much;Sam Hunt
If The Boot Fits;Granger Smith
Sober Saturday Night;Chris Young Featuring Vince Gill
Beibs In The Trap;Travis Scott
I Got You;Bebe Rexha
The Weekend;Brantley Gilbert
Water;Ugly God
Moves;Big Sean
Seein' Red;Dustin Lynch
iSpy;KYLE Featuring Lil Yachty
Think A Little Less;Michael Ray
No Flockin;Kodak Black
Timeless;A Boogie Wit da Hoodie Featuring DJ SPINKING
Way Down We Go;Kaleo
Hate U Love U;Olivia O'Brien
Shaky Shaky;Daddy Yankee
Both;Gucci Mane Featuring Drake
Feliz Navidad;Jose Feliciano
A Holly Jolly Christmas;Burl Ives
It's The Most Wonderful Time Of The Year;Andy Williams
Last Christmas;Wham!
Party;Chris Brown Featuring Usher & Gucci Mane
OTW;DJ Luke Nasty
Red Opps;21 Savage
Swang;Rae Sremmurd
I Don't Wanna Live Forever (Fifty Shades Darker);Zayn / Taylor Swift
Deja Vu;J. Cole
Immortal;J. Cole
Neighbors;J. Cole
Change;J. Cole
She's Mine Pt.1;J. Cole
For Whom The Bell Tolls;J. Cole
Ville Mentality;J. Cole
4 Your Eyez Only;J. Cole
Foldin Clothes;J. Cole
She's Mine Pt. 2;J. Cole
Just Hold On;Steve Aoki & Louis Tomlinson
Everybody Dies;J. Cole
Darlin' Don't Go;Sundance Head
Congratulations;Post Malone Featuring Quavo
At Last;Sundance Head
Black Barbies;Nicki Minaj X Mike WiLL Made-It
Home;gnash Featuring Johnny Yukon
False Prophets;J. Cole
Dirt On My Boots;Jon Pardi
Rockabye;Clean Bandit Featuring Sean Paul & Anne-Marie
Sidewalks;The Weeknd Featuring Kendrick Lamar
Reminder;The Weeknd
Six Feet Under;The Weeknd
Die For You;The Weeknd
Rockin';The Weeknd
All I Know;The Weeknd Featuring Future
Secrets;The Weeknd
True Colors;The Weeknd
How Far I'll Go;Auli'i Cravalho
Stargirl Interlude;The Weeknd Featuring Lana Del Rey
Attention;The Weeknd
Nothing Without You;The Weeknd
A Lonely Night;The Weeknd
Love To Lay;The Weeknd
Ordinary Life;The Weeknd
You're Welcome;Dwayne Johnson
Distraction;Kehlani
How Far I'll Go;Alessia Cara
We Know The Way;Opetaia Foa'i & Lin-Manuel Miranda
Make Me (Cry);Noah Cyrus Featuring Labrinth
Party Monster;The Weeknd
I Feel It Coming;The Weeknd Featuring Daft Punk
Love On The Weekend;John Mayer
That's My Girl;Fifth Harmony
Redbone;Childish Gambino
That's What I Like;Bruno Mars
Slumber Party;Britney Spears Featuring Tinashe
Play That Song;Train
Infinite;Eminem
Versace On The Floor;Bruno Mars
Parachute;Chris Stapleton
Hallelujah;Leonard Cohen
Me And Your Mama;Childish Gambino
Bad And Boujee;Migos Featuring Lil Uzi Vert
We The People....;A Tribe Called Quest
A Guy With A Girl;Blake Shelton
Call On Me;Starley
Used To This;Future Featuring Drake
Bounce Back;Big Sean
Setting Fires;The Chainsmokers Featuring XYLO
Selfish;PnB Rock
Kill A Word;Eric Church Featuring Rhiannon Giddens
Litty;Meek Mill Featuring Tory Lanez
Better Man;Little Big Town
Froze;Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
Offended;Meek Mill Featuring Young Thug & 21 Savage
Two Birds, One Stone;Drake
On The Regular;Meek Mill
The Difference;Meek Mill Featuring Quavo
Star Of The Show;Thomas Rhett
Blue Notes;Meek Mill
Chantaje;Shakira Featuring Maluma
Blessed Up;Meek Mill
Fake Love;Drake
Hallelujah;Pentatonix
Sneakin';Drake Featuring 21 Savage
A-YO;Lady Gaga
Shout Out To My Ex;Little Mix
No Heart;21 Savage & Metro Boomin
Greenlight;Pitbull Featuring Flo Rida & LunchMoney Lewis
What They Want;Russ
Say You Won't Let Go;James Arthur
Blow Your Mind (Mwah);Dua Lipa
Dirty Laundry;Carrie Underwood
Bad Things;Machine Gun Kelly x Camila Cabello
Alone;Marshmello
80s Mercedes;Maren Morris
My Sh*t;A Boogie Wit da Hoodie
How I'll Always Be;Tim McGraw
24K Magic;Bruno Mars
Love Me Now;John Legend
Don't Wanna Know;Maroon 5 Featuring Kendrick Lamar
Today;Brad Paisley
Million Reasons;Lady Gaga
PPAP (Pen-Pineapple-Apple-Pen);PIKOTARO
All Time Low;Jon Bellion
Ain't My Fault;Zara Larsson
Kids;OneRepublic
All We Know;The Chainsmokers Featuring Phoebe Ryan
Say It;Flume Featuring Tove Lo
False Alarm;The Weeknd
Cranes In The Sky;Solange
Don't Touch My Hair;Solange Featuring Sampha
LIFTED;CL
Fresh Eyes;Andy Grammer
Wanna Be That Song;Brett Eldredge
All Eyez;The Game Featuring Jeremih
This Town;Niall Horan
HandClap;Fitz And The Tantrums
Song For Another Time;Old Dominion
Capsize;Frenship & Emily Warren
CRZY;Kehlani
Forever Country;Artists Of Then, Now & Forever
My Way;Calvin Harris
Starboy;The Weeknd Featuring Daft Punk
Juju On That Beat (TZ Anthem);Zay Hilfigerrr & Zayion McCall
Key To The Streets;YFN Lucci Featuring Migos & Trouble
Cancer;twenty one pilots
Perfect Illusion;Lady Gaga
Blue Ain't Your Color;Keith Urban
Deja Vu;Post Malone Featuring Justin Bieber
Sleep Without You;Brett Young
Black Beatles;Rae Sremmurd Featuring Gucci Mane
X;21 Savage & Metro Boomin Featuring Future
The Greatest;Sia Featuring Kendrick Lamar
Goosebumps;Travis Scott
Caroline;Amine
Fade;Kanye West
Side To Side;Ariana Grande Featuring Nicki Minaj
May We All;Florida Georgia Line Featuring Tim McGraw
Grass Ain't Greener;Chris Brown
OOOUUU;Young M.A
Wyclef Jean;Young Thug
Scars To Your Beautiful;Alessia Cara
I Know Somebody;LOCASH
Nikes;Frank Ocean
Ivy;Frank Ocean
Pink + White;Frank Ocean
Too Much Sauce;DJ ESCO Featuring Future & Lil Uzi Vert
Mercy;Shawn Mendes
Solo;Frank Ocean
Nights;Frank Ocean
I Met A Girl;William Michael Morgan
Move;Luke Bryan
Look Alive;Rae Sremmurd
Pick Up The Phone;Young Thug And Travis Scott Featuring Quavo
In The Name Of Love;Martin Garrix & Bebe Rexha
Wishing;DJ Drama Featuring Chris Brown, Skeme & Lyquin
Rock On;Tucker Beathard
Let Me Love You;DJ Snake Featuring Justin Bieber
Gangsta;Kehlani
Bohemian Rhapsody;Panic! At The Disco
Cool Girl;Tove Lo
Do You Mind;DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
You Look Like I Need A Drink;Justin Moore
Closer;The Chainsmokers Featuring Halsey
Setting The World On Fire;Kenny Chesney Featuring P!nk
Holy Key;DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright
Starving;Hailee Steinfeld & Grey Featuring Zedd
Chill Bill;Rob $tone Featuring J. Davi$ & Spooks
Cold Water;Major Lazer Featuring Justin Bieber & MO
Tiimmy Turner;Desiigner
Purple Lamborghini;Skrillex & Rick Ross
Hit Or Miss;Jacob Sartorius
Back On Road;Gucci Mane & Drake
1 Night;Lil Yachty
P**** Print;Gucci Mane Featuring Kanye West
This Girl;Kungs vs Cookin' On 3 Burners
It Don't Hurt Like It Used To;Billy Currington
Middle Of A Memory;Cole Swindell
Castaway;Zac Brown Band
Rise;Katy Perry
Make Me...;Britney Spears Featuring G-Eazy
Vice;Miranda Lambert
Girls Talk Boys;5 Seconds Of Summer
Mama Said;Lukas Graham
Body Say;Demi Lovato
No Shopping;French Montana Featuring Drake
A Little More Summertime;Jason Aldean
Wat U Mean (Aye, Aye, Aye);Dae Dae
Sex With Me;Rihanna
Love Make The World Go Round;Jennifer Lopez & Lin-Manuel Miranda
Duele El Corazon;Enrique Iglesias Featuring Wisin
You Was Right;Lil Uzi Vert
You & Me;Marc E. Bassy Featuring G-Eazy
La Bicicleta;Carlos Vives & Shakira
Lush Life;Zara Larsson
No Money;Galantis
M.I.L.F. $;Fergie
Bored To Death;Blink-182
Brand New;Ben Rector
Lockjaw;French Montana Featuring Kodak Black
Flexicution;Logic
Sucker For Pain;Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
I Got The Keys;DJ Khaled Featuring Jay Z & Future
No Limit;Usher Featuring Young Thug
She's Got A Way With Words;Blake Shelton
Luv;Tory Lanez
Heathens;twenty one pilots
Dark Necessities;Red Hot Chili Peppers
All In My Head (Flex);Fifth Harmony Featuring Fetty Wap
What The World Needs Now Is Love;Broadway For Orlando
Ain't No Stopping Us Now;Kane Brown
Why You Always Hatin?;YG Featuring Drake & Kamaiyah
Night's On Fire;David Nail
Champions;Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner
Broccoli;D.R.A.M. Featuring Lil Yachty
Sweatshirt;Jacob Sartorius
Money Longer;Lil Uzi Vert
My PYT;Wale
Toothbrush;DNCE
For Free;DJ Khaled Featuring Drake
Treat You Better;Shawn Mendes
Nothing Is Promised;Mike WiLL Made-It x Rihanna
Kill Em With Kindness;Selena Gomez
Peter Pan;Kelsea Ballerini
Make You Miss Me;Sam Hunt
Different For Girls;Dierks Bentley Featuring Elle King
Fix;Chris Lane
Sit Still, Look Pretty;Daya
Lonesome Broken And Blue;Adam Wakefield
Love On The Brain;Rihanna
From The Ground Up;Dan + Shay
Every Breath You Take;Hannah Huston
Gold;Kiiara
With You Tonight / Hasta El Amanecer;Nicky Jam
Down That Road;Alisan Porter
Me Too;Meghan Trainor
Wherever I Go;OneRepublic
The Fighter;Keith Urban Featuring Carrie Underwood
No Problem;Chance The Rapper Featuring Lil Wayne & 2 Chainz
THat Part;ScHoolboy Q Featuring Kanye West
Blessings;Chance The Rapper Featuring Ty Dolla $ign
I'm Sorry;Adam Wakefield
Unsteady;X Ambassadors
Can't Stop The Feeling!;Justin Timberlake
Go Ahead And Break My Heart;Blake Shelton Featuring Gwen Stefani
Into You;Ariana Grande
Church Bells;Carrie Underwood
This Is What You Came For;Calvin Harris Featuring Rihanna
H.O.L.Y.;Florida Georgia Line
Hype;Drake
Controlla;Drake
Grammys;Drake Featuring Future
Still Here;Drake
U With Me?;Drake
9;Drake
With You;Drake Featuring PARTYNEXTDOOR
Childs Play;Drake
Too Good;Drake Featuring Rihanna
Feel No Ways;Drake
Weston Road Flows;Drake
Redemption;Drake
Don't Mind;Kent Jones
Keep The Family Close;Drake
Faithful;Drake Featuring Pimp C & dvsn
True Colors;Zedd & Kesha
Fire & Desire;Drake
Views;Drake
Formation;Beyonce
Sorry;Beyonce
Hold Up;Beyonce
6 Inch;Beyonce Featuring The Weeknd
Don't Hurt Yourself;Beyonce Featuring Jack White
Freedom;Beyonce Featuring Kendrick Lamar
Pray You Catch Me;Beyonce
All Night;Beyonce
Daddy Lessons;Beyonce
Sandcastles;Beyonce
Love Drought;Beyonce
Forward;Beyonce Featuring James Blake
Wake Up;Fetty Wap
Go Flex;Post Malone
Just Like Fire;P!nk
Wicked;Future
I Hate U I Love U;gnash Featuring Olivia O'Brien
You Don't Own Me;Grace Featuring G-Eazy
Let Me Love You;Ariana Grande Featuring Lil Wayne
Messin' Around;Pitbull Featuring Enrique Iglesias
Law;Yo Gotti Featuring E-40
Faded;Alan Walker
Ain't Your Mama;Jennifer Lopez
If It Ain't Love;Jason Derulo
Pop Style;Drake Featuring The Throne
One Dance;Drake Featuring WizKid & Kyla
Famous;Kanye West
Father Stretch My Hands Pt. 1;Kanye West
Lights Come On;Jason Aldean
Pt. 2;Kanye West
Ultralight Beam;Kanye West
Waves;Kanye West
Wasted Time;Keith Urban
Kiss It Better;Rihanna
FML;Kanye West
Real Friends;Kanye West
Come And See Me;PARTYNEXTDOOR Featuring Drake
Never Be Like You;Flume Featuring Kai
Feedback;Kanye West
Record Year;Eric Church
Close;Nick Jonas Featuring Tove Lo
Noise;Kenny Chesney
With Them;Young Thug
All The Way Up;Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Huntin', Fishin' & Lovin' Every Day;Luke Bryan
Digits;Young Thug
Moolah;Young Greatness
New Level;A$AP Ferg Featuring Future
Uber Everywhere;MadeinTYO
Team;Iggy Azalea
Be Alright;Ariana Grande
Body;Dreezy Featuring Jeremih
Dangerous Woman;Ariana Grande
Like I Would;Zayn
Ride;twenty one pilots
Light It Up;Major Lazer Featuring Nyla & Fuse ODG
Fast Car;Jonas Blue Featuring Dakota
No;Meghan Trainor
Came Here To Forget;Blake Shelton
Try Everything;Shakira
Untitled 02 l 06.23.2014.;Kendrick Lamar
American Country Love Song;Jake Owen
Untitled 07 l Levitate;Kendrick Lamar
Something New;Zendaya Featuring Chris Brown
Gotta Lotta;2 Chainz Featuring Lil Wayne
Piece By Piece;Kelly Clarkson
Work From Home;Fifth Harmony Featuring Ty Dolla $ign
It's You;Zayn
Hello Friday;Flo Rida Featuring Jason Derulo
T-Shirt;Thomas Rhett
Til It Happens To You;Lady Gaga
Head Over Boots;Jon Pardi
Lost Boy;Ruth B
Mind Reader;Dustin Lynch
Look At My Dab;Migos
The Sound Of Silence;Disturbed
Wild Things;Alessia Cara
Saved;Ty Dolla $ign Featuring E-40
Cut It;O.T. Genasis Featuring Young Dolph
Panda;Desiigner
Might Not;Belly Featuring The Weeknd
Make Me Like You;Gwen Stefani
All I Ask;Adele
Cheap Thrills;Sia Featuring Sean Paul
Never Forget You;Zara Larsson & MNEK
Might Be;DJ Luke Nasty
Think Of You;Chris Young Duet With Cassadee Pope
Promise;Kid Ink Featuring Fetty Wap
That Don't Sound Like You;Lee Brice
Low Life;Future Featuring The Weeknd
Fly S**t Only;Future
Jimmy Choo;Fetty Wap
Ophelia;The Lumineers
Die A Happy Man;Nelly
Don't Let Me Down;The Chainsmokers Featuring Daya
Whisper;Chase Rice
Little Bit Of You;Chase Bryant
Pillowtalk;Zayn
Summer Sixteen;Drake
Hymn For The Weekend;Coldplay
We Don't Talk Anymore;Charlie Puth Featuring Selena Gomez
Youth;Troye Sivan
Needed Me;Rihanna
Jam;Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx
Work;Rihanna Featuring Drake
Bake Sale;Wiz Khalifa Featuring Travi$ Scott
Something In The Way You Move;Ellie Goulding
I Like The Sound Of That;Rascal Flatts
My Church;Maren Morris
Country Nation;Brad Paisley
Humble And Kind;Tim McGraw
Bottom Of The Bottle;Curren$Y Featuring August Alsina & Lil Wayne
Somewhere On A Beach;Dierks Bentley
Snapback;Old Dominion
I Took A Pill In Ibiza;Mike Posner
Walking On A Dream;Empire Of The Sun
Victorious;Panic! At The Disco
Death Of A Bachelor;Panic! At The Disco
Middle;DJ Snake Featuring Bipolar Sunshine
7 Years;Lukas Graham
Lean & Dabb;iLoveMemphis
Lazarus;David Bowie
Blackstar;David Bowie
Drunk On Your Love;Brett Eldredge
Bang My Head;David Guetta Featuring Sia & Fetty Wap
Heartbeat;Carrie Underwood
Oui;Jeremih
Sugar;Robin Schulz Featuring Francesco Yates
2 Phones;Kevin Gates
Nobody To Blame;Chris Stapleton
Watch Out;2 Chainz
Mr. Misunderstood;Eric Church
Break On Me.;Keith Urban
Confession;Florida Georgia Line
Zero;Chris Brown
Hallelujah;Lindsey Stirling
Little More (Royalty);Chris Brown
Really Really;Kevin Gates
Let It Go;James Bay
Stick Talk;Future
Get Ugly;Jason Derulo
Mary Did You Know;Jordan Smith
Burning House;Emily Ann Roberts
Back To Sleep;Chris Brown
You Should Be Here;Cole Swindell
Climb Every Mountain;Jordan Smith
Good To Be Alive (Hallelujah);Andy Grammer
God Only Knows;Jordan Smith & Adam Levine
Sorry Not Sorry;Bryson Tiller
Hollow;Tori Kelly
Somebody To Love;Jordan Smith
Hands To Myself;Selena Gomez
Dessert;Dawin
Backroad Song;Granger Smith
Random;G-Eazy
Sorry;Rick Ross Featuring Chris Brown
Drifting;G-Eazy Featuring Chris Brown & Tory Lanez
Hallelujah;Jordan Smith
Down In The DM;Yo Gotti Featuring Nicki Minaj
One Call Away;Charlie Puth
I'd Just Love To Lay You Down;Barrett Baber
Daddy;PSY Featuring CL
Girls Just Want To Have Fun;Madi Davis
When We Were Young;Adele
Water Under The Bridge;Adele
Send My Love (To Your New Lover);Adele
Remedy;Adele
Home Alone Tonight;Luke Bryan Featuring Karen Fairchild
Best Friend;Young Thug
Rich $ex;Future
Love Yourself;Justin Bieber
Great Is Thy Faithfulness;Jordan Smith
The Feeling;Justin Bieber Featuring Halsey
Mark My Words;Justin Bieber
Purpose;Justin Bieber
No Pressure;Justin Bieber Featuring Big Sean
Company;Justin Bieber
No Sense;Justin Bieber Featuring Travi$ Scott
Life Is Worth Living;Justin Bieber
Children;Justin Bieber
Been You;Justin Bieber
If I Could Fly;One Direction
Olivia;One Direction
We Are;Justin Bieber Featuring Nas
Get Used To It;Justin Bieber
A.M.;One Direction
Temporary Fix;One Direction
I Know What You Did Last Summer;Shawn Mendes & Camila Cabello
Trust;Justin Bieber
Never Enough;One Direction
Adventure Of A Lifetime;Coldplay
Do It Like Me;DLOW
History;One Direction
Traveller;Chris Stapleton
Halo;Jordan Smith
WTF (Where They From);Missy Elliott Featuring Pharrell Williams
Stand By You;Rachel Platten
My House;Flo Rida
Focus;Ariana Grande
Tennessee Whiskey;Chris Stapleton
I'll Show You;Justin Bieber
Me, Myself & I;G-Eazy x Bebe Rexha
Beautiful Drug;Zac Brown Band
Already Callin' You Mine;Parmalee
We Went;Randy Houser
Hello;Adele
Sorry;Justin Bieber
Emperor's New Clothes;Panic! At The Disco
Used To Love You Sober;Kane Brown
Used To Love You;Gwen Stefani
Dibs;Kelsea Ballerini
I Love This Life;LOCASH
Exchange;Bryson Tiller
Perfect;One Direction
Cake By The Ocean;DNCE
Say It;Tory Lanez
Roses;The Chainsmokers Featuring Rozes
Home;One Direction
Can't Sleep Love;Pentatonix
I Got The Boy;Jana Kramer
Top Of The World;Tim McGraw
Love Me;The 1975
Back Up;DeJ Loaf Featuring Big Sean
Break Up In A Small Town;Sam Hunt
Stay A Little Longer;Brothers Osborne
Alive;Sia
Writing's On The Wall;Sam Smith
Plastic Bag;Drake & Future
Change Locations;Drake & Future
Don't;Bryson Tiller
Jugg;Fetty Wap Featuring Monty
Jersey;Future
Lay It All On Me;Rudimental Featuring Ed Sheeran
On My Mind;Ellie Goulding
Jumpman;Drake & Future
Infinity;One Direction
RGF Island;Fetty Wap
Diamonds Dancing;Drake & Future
$ave Dat Money;Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Big Rings;Drake & Future
Digital Dash;Drake & Future
Confident;Demi Lovato
Live From The Gutter;Drake & Future
Scholarships;Drake & Future
30 For 30 Freestyle;Drake
I'm The Plug;Drake & Future
Runnin' (Lose It All);Naughty Boy Featuring Beyonce & Arrow Benjamin
Die A Happy Man;Thomas Rhett
Powerful;Major Lazer Featuring Ellie Goulding & Tarrus Riley
Hold Each Other;A Great Big World Featuring FUTURISTIC
Same Old Love;Selena Gomez
Right Hand;Drake
Blase;Ty Dolla $ign Featuring Future & Rae Sremmurd
Gonna;Blake Shelton
Nothing But Trouble (Instagram Models);Lil Wayne & Charlie Puth
Hold My Hand;Jess Glynne
Firestone;Kygo Featuring Conrad
Hide Away;Daya
Come Get Her;Rae Sremmurd
Antidote;Travis Scott
Burn Slow;Wiz Khalifa Featuring Rae Sremmurd
White Iverson;Post Malone
Ginza;J Balvin
What Do You Mean?;Justin Bieber
Prisoner;The Weeknd Featuring Lana Del Rey
Tell Your Friends;The Weeknd
Acquainted;The Weeknd
Real Life;The Weeknd
Roots;Imagine Dragons
Shameless;The Weeknd
Losers;The Weeknd Featuring Labrinth
Dark Times;The Weeknd Featuring Ed Sheeran
Jet Black Heart;5 Seconds Of Summer
New Americana;Halsey
In The Night;The Weeknd
Smoke Break;Carrie Underwood
Levels;Nick Jonas
Downtown;Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Liquor;Chris Brown
About You;Trey Songz
Cecilia And The Satellite;Andrew McMahon In The Wilderness
I'm To Blame;Kip Moore
Straight Outta Compton;N.W.A
Hit The Quan;iLoveMemphis
Boyz-N-The Hood;Eazy-E
The Fix;Nelly Featuring Jeremih
Fly Away;5 Seconds Of Summer
Again;Fetty Wap
High By The Beach;Lana Del Rey
Love Myself;Hailee Steinfeld
Nothin' Like You;Dan + Shay
Gonna Wanna Tonight;Chase Rice
Black Magic;Little Mix
100 Grandkids;Mac Miller
Drag Me Down;One Direction
Back To Back;Drake
Rotten To The Core;Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
Omen;Disclosure Featuring Sam Smith
Hotline Bling;Drake
Charged Up;Drake
100;The Game Featuring Drake
Comfortable;K Camp
Let Me See Ya Girl;Cole Swindell
Here;Alessia Cara
If Only;Dove Cameron
Fire N Gold;Bea Miller
Cheyenne;Jason Derulo
She's Kinda Hot;5 Seconds Of Summer
How Deep Is Your Love;Calvin Harris & Disciples
Where Ya At;Future Featuring Drake
Strip It Down;Luke Bryan
Locked Away;R. City Featuring Adam Levine
Blow A Bag;Future
Save It For A Rainy Day;Kenny Chesney
Dance Like We're Making Love;Ciara
Kings Never Die;Eminem Featuring Gwen Stefani
Should've Been Us;Tori Kelly
Fly;Maddie & Tae
Burning House;Cam
Love Is Your Name;Steven Tyler
Lord Knows;Meek Mill
Jump Out The Face;Meek Mill Featuring Future
Like I'm Gonna Lose You;Meghan Trainor Featuring John Legend
Ex's & Oh's;Elle King
Break Up With Him;Old Dominion
679;Fetty Wap Featuring Remy Boyz
Cool For The Summer;Demi Lovato
R.I.C.O.;Meek Mill Featuring Drake
Play No Games;Big Sean Featuring Chris Brown & Ty Dolla $ign
Do It Again;Pia Mia Featuring Chris Brown & Tyga
Bad For You;Meek Mill Featuring Nicki Minaj
My Way;Fetty Wap Featuring Monty
Brother;NEEDTOBREATHE Featuring Gavin DeGraw
Good For You;Selena Gomez Featuring A$AP Rocky
No Sleeep;Janet Featuring J. Cole
I Don't Like It, I Love It;Flo Rida Featuring Robin Thicke & Verdine White
All Eyes On You;Meek Mill Featuring Chris Brown & Nicki Minaj
Yoga;Janelle Monae & Jidenna
Real Life;Jake Owen
Like I Can;Sam Smith
Check;Young Thug
Ghost Town;Adam Lambert
B**** I'm Madonna;Madonna Featuring Nicki Minaj
Marvin Gaye;Charlie Puth Featuring Meghan Trainor
Sparks;Hilary Duff
Good Thing;Sage The Gemini Featuring Nick Jonas
Can't Feel My Face;The Weeknd
3500;Travi$ Scott Featuring Future & 2 Chainz
John Cougar, John Deere, John 3:16;Keith Urban
Back It Up;Prince Royce Featuring Jennifer Lopez & Pitbull
This Could Be Us;Rae Sremmurd
Lose My Mind;Brett Eldredge
Phenomenal;Eminem
Ulay, Oh;How I Became The Bomb
House Party;Sam Hunt
Everyday;A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson
Hood Go Crazy;Tech N9Ne Featuring 2 Chainz & B.o.B
Hell Of A Night;Dustin Lynch
The Hills;The Weeknd
L$D;A$AP Rocky
Electric Body;A$AP Rocky Featuring ScHoolboy Q
Stitches;Shawn Mendes
Loving You Easy;Zac Brown Band
Young & Crazy;Frankie Ballard
Buy Me A Boat;Chris Janson
You Changed Me;Jamie Foxx Featuring Chris Brown
Kiss You In The Morning;Michael Ray
Planez;Jeremih Featuring J. Cole
Kick The Dust Up;Luke Bryan
Please;Sawyer Fredericks
Old Man;Sawyer Fredericks
Flashlight;Jessie J
Beautiful Now;Zedd Featuring Jon Bellion
Change My Mind;Meghan Linsey
I'm Comin' Over;Chris Young
This Summer's Gonna Hurt...;Maroon 5
How Many Times;DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Fun;Pitbull Featuring Chris Brown
Photograph;Ed Sheeran
Beautiful Life;Nick Fradiani
A Thousand Years;Sawyer Fredericks
Pretty Girls;Britney Spears & Iggy Azalea
Coffee;Miguel
I Need Your Love;Shaggy Featuring Mohombi, Faydee, Costi
Classic Man;Jidenna Featuring Roman GianArthur
The Night Is Still Young;Nicki Minaj
Shine On;Sawyer Fredericks
Simple Man;Sawyer Fredericks
Infinity;Mariah Carey
Stressed Out;twenty one pilots
Flicka Da Wrist;Chedda Da Connect
One Hell Of An Amen;Brantley Gilbert
Crushin' It;Brad Paisley
Hallelujah;Panic! At The Disco
Nothing Without Love;Nate Ruess
Nasty;Bandit Gang Marco Featuring Dro
Make It Rain;Koryn Hawthorne
Cheerleader;OMI
Flex (Ooh Ooh Ooh);Rich Homie Quan
I Don't Get Tired (#IDGT);Kevin Gates Featuring August Alsina
Iris;Sawyer Fredericks
Nasty Freestyle;T-Wayne
Fight Song;Rachel Platten
American Oxygen;Rihanna
Sangria;Blake Shelton
Be Real;Kid Ink Featuring DeJ Loaf
Imagine;Sawyer Fredericks
Renegades;X Ambassadors
House Of The Rising Sun;Kimberly Nichole
Ride Out;Kid Ink, Tyga, Wale, YG & Rich Homie Quan
Tear In My Heart;twenty one pilots
Crash And Burn;Thomas Rhett
Goodbye;Who Is Fancy
Baby Be My Love Song;Easton Corbin
Lean On;Major Lazer & DJ Snake Featuring MO
Get Low;Dillon Francis & DJ Snake
The Matrimony;Wale Featuring Usher
Good Lovin;Ludacris Featuring Miguel
Love Me Like You Mean It;Kelsea Ballerini
Commas;Future
B**** Better Have My Money;Rihanna
El Perdon (Forgiveness);Nicky Jam & Enrique Iglesias
Trouble;Iggy Azalea Featuring Jennifer Hudson
Hey Mama;David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Failure;Breaking Benjamin
Baby Blue;Action Bronson Featuring Chance The Rapper
Love You Like That;Canaan Smith
You Know You Like It;DJ Snake & AlunaGeorge
Like A Wrecking Ball;Eric Church
King Kunta;Kendrick Lamar
The Blacker The Berry;Kendrick Lamar
Alright;Kendrick Lamar
Fairly Local;twenty one pilots
Wesley's Theory;Kendrick Lamar Featuring George Clinton & Thundercat
These Walls;Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat
Institutionalized;Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg
Believe;Mumford & Sons
Want To Want Me;Jason Derulo
Games;Luke Bryan
Bills;LunchMoney Lewis
Bright;Echosmith
Wild Child;Kenny Chesney With Grace Potter
Diamond Rings And Old Barstools;Tim McGraw With Catherine Dunn
Little Toy Guns;Carrie Underwood
See You Again;Wiz Khalifa Featuring Charlie Puth
All Day;Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney
Conqueror;Empire Cast Featuring Estelle & Jussie Smollett
I Really Like You;Carly Rae Jepsen
New Romantics;Taylor Swift
Don't It;Billy Currington
Adore;Cashmere Cat Featuring Ariana Grande
She Don't Love You;Eric Paslay
Monster;Meek Mill
Where Are U Now;Skrillex & Diplo With Justin Bieber
I Want You To Know;Zedd Featuring Selena Gomez
First Kiss;Kid Rock
You're So Beautiful;Empire Cast Featuring Jussie Smollett & Yazz
All Your Fault;Big Sean Featuring Kanye West
You Are In Love;Taylor Swift
Nobody Love;Tori Kelly
Smoke;A Thousand Horses
Raise 'Em Up;Keith Urban Featuring Eric Church
One Man Can Change The World;Big Sean Featuring Kanye West & John Legend
Watch Me;Silento
Paradise;Big Sean
Wonderland;Taylor Swift
Know Yourself;Drake
No Tellin';Drake
6 God;Drake
Now & Forever;Drake
6 Man;Drake
Go Hard Or Go Home;Wiz Khalifa & Iggy Azalea
Energy;Drake
Little Red Wagon;Miranda Lambert
One Last Time;Ariana Grande
